X,Y,OBJECTID,STORE,ADDRESS,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE
-76.992781733576322,38.862197176429895,44,MLK Grocery,2420 MLK Jr. Ave SE,400626.67,132708.06,Exact,47224,38.86218973,-76.99277945
-77.003083008871826,38.842413936576065,45,MLK Mini Mart,3333 MLK Jr. Ave SE,399732.55,130511.96,Exact,36102,38.84240649,-77.00308073
-76.981267265793406,38.92623306132036,46,Neighborhood Market,1611 Rhode Island Ave NE,401624.55,139816.69,Exact,59933,38.9262256,-76.98126499
-77.012417742977547,38.916865424591933,47,New Reservoir Market,1942 1st Street NW,398923.29,138776.71,Exact,227484,38.91685797,-77.01241545
-76.984830029925945,38.866908085984967,48,New Seven Market,1406 Good Hope Rd SE,401316.71,133231.09,Exact,65049,38.86690064,-76.98482775
-76.991238561189775,38.933703204667424,49,Newton Market,3600 12th St NE,400759.84,140645.81,Exact,33055,38.93369574,-76.99123628
-76.930785326996499,38.877835033859846,50,Night N Day 24 Hour Store,5026 Benning Rd SE,406006.01,134446.23,Exact,14817,38.87782758,-76.93078307
-76.984813301233302,38.909789138081301,51,Northeast Supermarket,1201 Mt Olivet Rd NE,401317.37,137991.22,Exact,285914,38.90978168,-76.98481102
-76.986045152091009,38.925064990226254,52,Quick Trip,1356 Brentwood Rd NE,401210.27,139686.95,Exact,149954,38.92505753,-76.98604287
-77.027749310946604,38.955824587951014,53,S&G Liquor and Grocery,5421 Georgia Ave NW,397595,143101.81,Exact,254615,38.95581712,-77.02774702
-76.983368792249138,38.887786016403638,54,S.E. Market,1500 Independence Ave SE,401443.1,135548.72,Exact,62552,38.88777856,-76.98336651
-77.008578229358847,38.832002228800398,55,Secrets of Nature,3923 South Capitol St SW,399255.38,129356.22,Exact,276603,38.83199479,-77.00857595
-76.981045856291914,38.916636997222412,56,Shell New York Avenue,1601 New York Ave NE,401643.97,138751.45,Exact,286332,38.91662954,-76.98104358
-76.998312216059162,38.844364102568804,57,Smiley Mart,3019 Martin Luther King Jr Ave SE,0,0,Manual,,,
-77.026801175254519,38.926660014341316,58,Sonya’s Market,2833 11th St NW,397676.23,139864.26,Exact,231729,38.92665256,-77.02679888
-76.985987924729613,38.901138384686561,59,Staples Beer & Wine,1364 Florida Ave NE,401215.64,137030.9,Exact,307229,38.90113093,-76.98598565
-77.020196458703751,38.955825729117365,60,Starlight Food,5424 5th St NW,0,0,Manual,,,
-77.025834419600912,38.927972653557632,61,Stop And Go,3001 Sherman Ave NW,397760.1,140009.95,Exact,232775,38.92796519,-77.02583213
-77.00937748790713,38.92115556461426,62,Sunbeam Market,2324 North Capitol St NW,399187,139252.92,Exact,228141,38.92114811,-77.0093752
-76.942170734161991,38.883372019208636,63,Texas Convenience Store,4350 Texas Ave SE,405017.7,135060.19,Exact,22871,38.88336457,-76.94216847
-77.000376205555625,38.890074516776231,64,The Corner Market,400 East Capitol St NE,399967.56,135802.63,Exact,28319,38.89006706,-77.00037392
-76.983357186803588,38.890102429098519,65,The Cupboard,1504 East Capitol Street NE,401444.06,135805.86,Exact,62482,38.89009498,-76.98335491
-76.956625841781417,38.896004874303557,66,Thomas & Sons Food Market,3425 Benning Rd NE,403762.85,136461.84,Exact,302283,38.89599742,-76.95662357
-76.925308689217388,38.889419060909781,67,Toni's Market,5319 East Capitol Street SE,406480.17,135732.52,Exact,288601,38.88941161,-76.92530643
-77.032055344630507,38.925031248437833,68,Uptown Market,2701 14th St NW,397220.57,139683.6,Exact,231633,38.92502379,-77.03205305
-76.990216807788173,38.833563571161399,69,Wheeler Market,4133 Wheeler Rd SE,400849.62,129529.55,Exact,300965,38.83355613,-76.99021453
-77.029877955034848,38.915429849086379,70,Whitelaw Market,1846 13th St NW,397409.03,138617.7,Exact,240475,38.91542239,-77.02987566
-76.935781182534157,38.909795448916853,71,Z Mart,1507 Kenilworth Ave NE,405570.02,137993.77,Exact,148950,38.90978799,-76.93577892
